Registry,Assignment,Organization Name,Organization Address
CID,5ACBD3,Simaudio Ltd,1345 rue Newton Boucherville Quebec CA J4B 5H2 
CID,6A4065,Open Connectivity Foundation,3855 SW 153rd Dr Beaverton OR US 97003 
CID,4A5A6F,Applied Materials,3050 Bowers Avenue Santa Clara CA US 95054 
CID,6A0E20,"GeoFrenzy, Inc",39 Main Street Tiburon CA US 94920 
CID,4AC03F,"WUHAN HIKSTORAGE TECHNOLOGY CO.,LTD","Rm.01, 21/F, F4 Building, 5th Phase-NO.1 Software Park, Guanshan 1 Rd, East Lake  Development Zone, Wuhan, China(430040) Wuhan Hubei CN 430040 "
CID,DA0D38,"Farpointe Data, Inc.",1376 Borregas Ave Sunnyvale CA US 94089 
CID,6A5C35, Secrétariat général de la défense et de la sécurité nationale,51 boulevard de la Tour-Maubourg PARIS  FR 75700 
CID,7A84F0,"McDowell Signal Processing, LLC (dba McDSP)",2083 Old Middlefield Way #204 Mountain View CA US 94043 
CID,EAB89B,"Thread Group, Inc.","2400 Camino Ramon, Ste 375 San Ramon CA US 94583 "
CID,8AC72E,"Roku, Inc.",12980 Saratoga Ave Saratoga CA US 95070 
CID,AA0F85,Yamaichi Electronics,475 Holger Way San Jose CA US 95134 
CID,CA446C,"Cypress Computer Systems, Inc.",1778 Imlay City Rd Lapeer MI US 48446 
CID,DAFF6B,Team Precision Public Company Limited,"198 Moo 13 Suwansorn Rd., Dong-Khee-Lek, Prachinburi Muang TH 25000 "
CID,0A8736, IEEE 1901 Working Group,"Progilon, WTC Business Center Grenoble Rhone Alpes FR F-38000 "
CID,DA2BDD,"AT&T, Inc.","4509 Friedrich Lane, Bldg 3 Austin  US 78744 "
CID,4A191B,ZigBee Alliance,"508 Second Street, Suite 206 Davis CA US 95626 "
CID,4A7206,"CAIRE, Inc.","2200 Airport Industrial Dr., Suite 500 Ball Ground GA US 30107 "
CID,6A1F6C,"iPass, Inc.",3800 Bridge Parkway Redwood Shores CA US 94065 
CID,CA125C,Microsoft Corporation,One Microsoft Way Redmond  US 98052-6399 
CID,EADD88,"IEEE PES-PSRC Working Group H3, PC37.237",445 Hoes Ln. Piscataway NJ US 08854 
CID,FAEB6E,xRAN.org,291 Lambert Ave. Palo Alto CA US 94306 
CID,BAF21C,ISO/TC22/SC31,Behrenstr. 35 Berlin Berlin DE 10117 
CID,4A7F74,INTEC Inc.,"1-1-25 Shin-urashima-cho, Kanagawa-ku Yokohama-shi Kanagawa-ken JP 221-0031 "
CID,9AB2F8,SFF Committee,14426 Black Walnut Court Saratoga CA US 95070 
CID,4ADA10,Emotiva Audio Corp,135 SE Parkway Court Franklin TN US 37064 
CID,EA9FB1,Philips International B.V.,High Tech Campus 5 Eindhoven Noord Brabant NL 5656 AE 
CID,9A1B22,"InfoCore Co.,Ltd.","12th Floor,   No.1038 International Entrepreneurship Center Hangzhou Zhejiang CN 311202 "
CID,3A5E03,"Cirrus Data Solutions, Inc","6800 Jericho Turnpike, suite 213W Syosset  NY US 11791 "
CID,BA3054,George Wilson Industries Ltd,"Barlow Road, Aldermans Green Industrial Estate Coventry West Midlands GB CV2 2LD "
CID,EA6076,"CloudSimple, Inc.","2755 Great America Way, Suite 101 Santa Clara CA US 95054 "
CID,CA30BF,IEEE 802.1 Working Group,445 Hoes Lane Piscataway NJ US 08554 
CID,0AE471,Caterpillar Inc.,P.O. Box 610 Mossville IL US 61552-0610 
CID,8ACBA4,Resideo,2 Corporate Center Dr. Melville NY US 11747 
CID,3AF521,BSG Wireless,"7411 John Smith Drive, Suite 1500 San Antonio TX US 78229 "
CID,BA4159,ANAPASS INC.,61 Digital-ro 31-gil Guro-gu Seoul  KR 08375 
